Registro;Nombre;Fecha Registro;Empresa;Principio Activo;Control Legal;Condiciones de Venta;Equivalente Terapeutico
F-13981/19;ADOLEX PLUS COMPRIMIDOS DE DISOLUCIÓN BUCAL;2004-07-16 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;ALANTOINA//CETILPIRIDINIO CLORURO//NOSCAPINA;;Directa;
H-1004/21;ADONIS COMPUESTO SOLUCIÓN ORAL PARA GOTAS;1990-08-02 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-1229/17;ADRISIN COMPRIMIDOS SUBLINGUALES;2017-02-02 00:00:00;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;;;Directa;
F-25199/19;ADVANCED ANTIBACTERIAL CLEAN & SMOOTH JABÓN LÍQUIDO 0,5% (CLORURO DE BENZALCONIO);2019-12-27 00:00:00;ECOLAB S.A.;BENZALCONIO CLORURO;;Directa;
N-630/21;AEROMED JARABE 35 mg/5 mL;2020-10-20 00:00:00;EUROFARMA CHILE S.A.;"HEDERA HELIX L.(HIEDRA);EXTRACTO SECO ESTANDARIZADO DE HOJAS (5 - 7;5:1)";;Directa;
N-530/18;AEROMED JARABE 35 mg/5 mL;2013-11-27 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;;;Directa;
N-427/21;AEROMED JARABE 35 mg/5 mL;2006-01-26 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;;;Directa;
H-761/20;AESCULUS UNGÜENTO TÓPICO;1988-03-24 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-20252/18;AFTAGEL GEL TÓPICO BUCAL;2013-08-28 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;BENZOCAINA//CETILPIRIDINIO CLORURO;;Directa;
F-13887/19;AGUA BIDESTILADA SOLUCIÓN INYECTABLE;2004-06-18 00:00:00;LABORATORIO SANDERSON S.A.;AGUA INYECTABLE;;Directa;
F-1193/18;AGUA DEL CARMEN SOLUCIÓN ORAL;1942-02-25 00:00:00;LABORATORIO PASTEUR S.A.;ESENCIA DE CANELA//ESENCIA DE CLAVO//ESENCIA DE LIMON//ESENCIA DE MELISA//ESENCIA DE MENTA//ESENCIA DE ROMERO;;Directa;
F-21330/19;AGUA ESTÉRIL PARA INYECTABLE;2014-08-25 00:00:00;SCM PHARMA S.p.A.;AGUA INYECTABLE;;Directa;
F-24847/19;AGUA ESTERIL PARA INYECTABLES;2019-05-17 00:00:00;DIFEM LABORATORIOS S.A.;AGUA INYECTABLE;;Directa;
F-21200/19;AGUA ESTÉRIL PARA INYECTABLES;2014-06-23 00:00:00;TECNOFARMA S.A.;AGUA INYECTABLE;;Directa;
F-19972/18;AGUA ESTÉRIL PARA INYECTABLES;2013-05-28 00:00:00;B. BRAUN MEDICAL SpA;AGUA INYECTABLE;;Directa;
F-14620/20;AGUA ESTÉRIL PARA INYECTABLES;2005-02-23 00:00:00;LABORATORIO BIOSANO S.A.;AGUA INYECTABLE;;Directa;
F-15116/20;AGUA ESTÉRIL PARA INYECTABLES;2005-09-14 00:00:00;OPKO CHILE S.A.;AGUA INYECTABLE;;Directa;
F-7248/20;AGUA OXIGENADA 10 VOLÚMENES SOLUCIÓN TÓPICA;2000-11-27 00:00:00;LABORATORIOS MDK S.A.;PEROXIDO DE HIDROGENO;;Directa;
F-10067/21;AGUA PARA INYECTABLES;1997-03-26 00:00:00;BPH S.A.;AGUA INYECTABLE;;Directa;
F-10847/21;AGUA PARA INYECTABLES;1995-01-24 00:00:00;LABORATORIO SANDERSON S.A.;AGUA INYECTABLE;;Directa;
F-18575/21;AGUA PARA INYECTABLES;2011-04-08 00:00:00;LABORATORIO BIOSANO S.A.;AGUA INYECTABLE;;Directa;
N-407/20;AJENJO EXTRACTO FLUIDO SOLUCIÓN PARA GOTAS ORALES;1988-07-12 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-6364/20;ALCOHOL ALCANFORADO AL 10%;1982-04-12 00:00:00;LABORATORIO VALMA SPA;ALCANFOR//ALCOHOL ETILICO;;Directa;
F-7589/21;ALCOHOL ALCANFORADO SOLUCIÓN TÓPICA 10%;2001-04-19 00:00:00;DIFEM LABORATORIOS S.A.;ALCANFOR;;Directa;
F-26063/21;ALCOHOL DESNATURALIZADO SOLUCIÓN TÓPICA 70% v/v;2021-04-04 00:00:00;DIFEM LABORATORIOS S.A.;ALCOHOL ETILICO;;Directa;
F-26064/21;ALCOHOL DESNATURALIZADO SOLUCIÓN TÓPICA 95% v/v;2021-04-04 00:00:00;DIFEM LABORATORIOS S.A.;ALCOHOL ETILICO;;Directa;
F-18268/20;ALCOHOL GEL 70%;2010-09-28 00:00:00;DIVERSEY INDUSTRIAL Y COMERCIAL CHILE LTDA.;ALCOHOL ETILICO;;Directa;
F-13154/18;ALCOHOL GEL 70%;2003-10-02 00:00:00;LABORATORIO PASTEUR S.A.;ALCOHOL ETILICO;;Directa;
F-12194/17;ALCOHOL GEL ANTISÉPTICO 75%;2002-06-28 00:00:00;ECOLAB S.A.;ALCOHOL ETILICO;;Directa;
F-15943/17;ALCOHOL GEL TÓPICO 70%;2007-02-16 00:00:00;DIFEM LABORATORIOS S.A.;ALCOHOL ETILICO;;Directa;
F-11450/16;ALCOHOL YODADO 0,65%;1992-11-24 00:00:00;EUROFARMA CHILE S.A.;ALCOHOL ETILICO//IODO//SODIO IODURO;;Directa;
F-11671/21;ALCOHOL YODADO 1% SOLUCIÓN PARA USO EXTERNO;1994-04-15 00:00:00;LABORATORIO VALMA SPA;ALCOHOL ETILICO//IODO//POTASIO IODURO;;Directa;
F-10769/21;ALCOLEX SOLUCIÓN TÓPICA 0,1%;1995-10-03 00:00:00;ALPES CHEMIE S.A.;ALCOHOL ETILICO//BENZOXONIO CLORURO;;Directa;
H-894/20;ALFALFA T.M. COMPRIMIDOS;1987-10-19 00:00:00;KNOP LABORATORIOS S.A.;"Alfalfa T.M.;Oleum Jecor D3";;Directa;
H-579/20;ALFALFA TINTURA MADRE SOLUCIÓN ORAL PARA GOTAS;1988-08-09 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-893/20;ALFAPASS, SOLUCIÓN PARA GOTAS ORALES;1988-09-15 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-804/20;ALGAS COMPUESTAS COMPRIMIDOS;1986-04-22 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-594/20;ALGAS CON OLIVOS COMPUESTO SOLUCIÓN ORAL PARA GOTAS;1989-02-28 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-805/20;ALGAS MARINAS CON OLIVOS COMPRIMIDOS;1986-04-21 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-6449/20;ALGIAFIN JARABE 120 mg/5 mL;1984-01-31 00:00:00;INTERPHARMA S.A.;PARACETAMOL;;Directa;
F-6450/20;ALGIAFIN SOLUCIÓN PARA GOTAS ORALES 100 mg/mL;1984-01-31 00:00:00;INTERPHARMA S.A.;PARACETAMOL;;Directa;
F-17721/19;ALGIASOL FORTE SUSPENSIÓN ORAL 200 mg/5 mL;2009-09-02 00:00:00;INTERPHARMA S.A.;IBUPROFENO;;Directa;
F-20512/18;ALGIASOL SUSPENSIÓN ORAL 100 mg/ 5 mL;2013-12-11 00:00:00;INTERPHARMA S.A.;IBUPROFENO;;Directa;
F-26201/21;ALIVIDOL COMPRIMIDOS 1000 mg;2021-06-08 00:00:00;OPKO CHILE S.A.;PARACETAMOL;;Directa;TRUE
F-24017/18;ALIVIDOL COMPRIMIDOS 500 mg;2018-08-09 00:00:00;OPKO CHILE S.A.;Paracetamol;;Directa;TRUE
H-998/21;ALLIUM CEPA T.M., SOLUCIÓN PARA GOTAS ORALES;1992-02-24 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-1227/16;ALLIUM COMPUESTO SOLUCIÓN PARA GOTAS ORALES;2016-12-01 00:00:00;LAURA XIMENA POLANCO GONZÁLEZ;;;Directa;
H-999/16;ALLIUM SATIVA TINTURA MADRE;1992-11-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
N-1/21;ALOE - CÁSCARA SAGRADA CÁPSULAS;2001-01-18 00:00:00;LABORATORIOS MDK S.A.;;;Directa;
N-570/20;ALOE FEROX CÁPSULAS 150 mg;2015-11-11 00:00:00;MEGALABS CHILE S.A.;;;Directa;
N-565/20;ALOE FEROX CÁPSULAS 150 mg;2015-08-19 00:00:00;LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.;;;Directa;
N-617/20;ALOE FEROX CÁPSULAS 150 mg;2020-10-14 00:00:00;KNOP LABORATORIOS S.A.;POLVO DE EXUDADO DE HOJAS DE ALOE FEROX MILL.;;Directa;
N-102/16;ALOELAX CÁPSULAS;1996-12-28 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-1311/18;ALUMINIO HIDRÓXIDO SUSPENSIÓN ORAL 6%;1969-11-15 00:00:00;LABORATORIO CHILE S.A.;ALUMINIO HIDROXIDO;;Directa;
F-11036/21;AMBROTOS JARABE 15 mg/5 mL;1990-10-04 00:00:00;LABORATORIOS LAFI LTDA.;AMBROXOL;;Directa;
F-26311/21;AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL;2021-08-04 00:00:00;OPKO CHILE S.A.;AMBROXOL CLORHIDRATO;;Directa;
F-6510/20;AMBROXOL CLORHIDRATO ADULTO JARABE 30 mg/5 mL;1989-04-10 00:00:00;LABORATORIOS ANDRÓMACO S.A.;AMBROXOL;;Directa;
F-6509/20;AMBROXOL CLORHIDRATO INFANTIL JARABE 15 mg/5 mL;1989-04-10 00:00:00;LABORATORIOS ANDRÓMACO S.A.;AMBROXOL;;Directa;
F-11135/21;AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL;1990-03-08 00:00:00;RECBEN XENERICS FARMACÉUTICA LTDA.;AMBROXOL;;Directa;
F-15177/20;AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL;2005-10-25 00:00:00;MINTLAB Co. S.A.;AMBROXOL;;Directa;
F-16719/18;AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL;2008-03-05 00:00:00;OPKO CHILE S.A.;AMBROXOL;;Directa;
F-25602/20;AMBROXOL CLORHIDRATO JARABE 15mg / 5mL;2020-07-31 00:00:00;EXPORTADORA Y COMERCIALIZADORA DE PRODUCTOS FARMACÉUTICOS LTDA.;AMBROXOL;;Directa;TRUE
F-24892/19;AMBROXOL CLORHIDRATO JARABE 15mg/5mL;2019-06-20 00:00:00;LABORATORIO HOSPIFARMA CHILE LTDA.;AMBROXOL;;Directa;
F-22479/21;AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL;2016-02-28 00:00:00;OPKO CHILE S.A.;AMBROXOL;;Directa;
F-16720/18;AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL;2008-03-05 00:00:00;OPKO CHILE S.A.;AMBROXOL;;Directa;
F-15178/20;AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL;2005-10-25 00:00:00;MINTLAB Co. S.A.;AMBROXOL;;Directa;
F-24895/19;AMBROXOL CLORHIDRATO JARABE 30mg/5mL;2019-06-20 00:00:00;LABORATORIO HOSPIFARMA CHILE LTDA.;AMBROXOL;;Directa;
F-11136/21;AMBROXOL CLORHIDRATO JARABE FORTE 30 mg/5 mL;1990-10-04 00:00:00;RECBEN XENERICS FARMACÉUTICA LTDA.;AMBROXOL;;Directa;
H-1213/19;ANACARDIO CON FÓSFORO SOLUCIÓN PARA GOTAS ORALES;2014-04-03 00:00:00;LAURA XIMENA POLANCO GONZÁLEZ;;;Directa;
H-1147/19;ANACARDIUM COMPUESTO SOLUCIÓN ORAL PARA GOTAS;2009-08-04 00:00:00;LABORATORIOS BIOSPHARE S.A.;;;Directa;
F-2461/19;ANALGÉSICO DENTAL SOLUCIÓN TÓPICA 85%;1979-11-14 00:00:00;DROGUERÍA HOFMANN S.A.C.;EUGENOL;;Directa;
H-728/20;ANGIN - HEEL SD COMPRIMIDOS SUBLINGUALES;2000-08-29 00:00:00;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;;;Directa;
F-5447/20;ANTIAX COMPRIMIDOS MASTICABLES;1981-09-01 00:00:00;LABORATORIOS SAVAL S.A.;MAGALDRATO//SIMETICONA;;Directa;
F-9778/21;ANTIAX FORTE SUSPENSIÓN;1990-03-01 00:00:00;LABORATORIOS SAVAL S.A.;MAGALDRATO//SIMETICONA;;Directa;
F-5449/20;ANTIAX SUSPENSIÓN ORAL;1981-09-02 00:00:00;LABORATORIOS SAVAL S.A.;MAGALDRATO//SIMETICONA;;Directa;
N-620/21;ANTIMETIL COMPRIMIDOS RECUBIERTOS 50 mg (EXTRACTO SECO DE RIZOMA DE JENGIBRE);2021-03-03 00:00:00;LABORATORIO CHILE S.A.;EXTRACTO SECO ESTANDARIZADO DE RIZOMA DE ZINGIBER OFFICINALE R. (9-11:1);;Directa;
H-778/20;ANTIMONIUM CRUDO D6 COMPRIMIDOS;1987-04-22 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-21284/19;ANTISEP 3M, SOLUCIÓN TÓPICA AL 2%;2014-08-08 00:00:00;DIFEM LABORATORIOS S.A.;CLORHEXIDINA;;Directa;
H-587/20;APIS COMPUESTO SOLUCIÓN ORAL PARA GOTAS;1988-11-04 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-797/20;APIS D6 COMPRIMIDOS;1986-11-17 00:00:00;KNOP LABORATORIOS S.A.;Apis D6;;Directa;
H-1159/19;APIS D6 GLÓBULOS;2009-09-21 00:00:00;LABORATORIOS BIOSPHARE S.A.;;;Directa;
B-2648/21;AQUAREST CÁPSULAS 250 mg (SACCHAROMYCES BOULARDII);2016-09-27 00:00:00;LABORATORIO HOSPIFARMA CHILE LTDA.;;;Directa;
B-2653/21;AQUAREST LIOFILIZADO PARA SUSPENSION ORAL EN SOBRES 250 mg;2016-10-04 00:00:00;LABORATORIO HOSPIFARMA CHILE LTDA.;;;Directa;
H-592/20;ARENARIA COMPUESTA SOLUCIÓN ORAL PARA GOTAS;1989-02-15 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
N-493/20;ARMONYL COMPRIMIDOS RECUBIERTOS;2010-11-18 00:00:00;LABORATORIO MAVER S.A.;;;Directa;
N-85/21;ARMONYL COMPUESTO SOLUCIÓN ORAL PARA GOTAS;1992-06-08 00:00:00;LABORATORIO MAVER S.A.;;;Directa;
N-504/17;ARMONYL NOCHE COMPRIMIDOS RECUBIERTOS;2012-08-08 00:00:00;LABORATORIO MAVER S.A.;;;Directa;
N-233/18;ARMONYL SIN CRATAEGUS CON MANZANILLA SOLUCIÓN ORAL PARA GOTAS;1997-07-04 00:00:00;LABORATORIO MAVER S.A.;"Manzanilla Extracto Blando;Passiflora Incarnata Extracto Blando;Valeriana Extracto Blando";;Directa;
H-1211/18;ÁRNICA COMPUESTA SOLUCIÓN PARA GOTAS ORALES;2013-12-14 00:00:00;LAURA XIMENA POLANCO GONZÁLEZ;;;Directa;
H-802/20;ÁRNICA D6 COMPRIMIDOS;1986-11-17 00:00:00;KNOP LABORATORIOS S.A.;Arnica D6;;Directa;
H-1160/19;ÁRNICA D6 GLÓBULOS;2009-09-21 00:00:00;LABORATORIOS BIOSPHARE S.A.;;;Directa;
H-593/20;ÁRNICA HAMAMELIS COMPUESTO SOLUCIÓN ORAL PARA GOTAS;1989-02-22 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-746/20;ÁRNICA TINTURA MADRE SOLUCIÓN ORAL PARA GOTAS;1988-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-762/20;ÁRNICA UNGÜENTO TÓPICO 10%;1986-10-06 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-968/21;ARNIKADERM GEL 10%;1994-03-25 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-769/20;ARSENICUM ALBUM D6 COMPRIMIDOS;1988-07-18 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-20018/18;ARTICO POLVO PARA SOLUCIÓN ORAL;2013-06-12 00:00:00;EUROFARMA CHILE S.A.;CONDROITINA//GLUCOSAMINA;;Directa;
F-23011/21;ARTIFREE COMPRIMIDOS;2016-08-25 00:00:00;LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.;CONDROITINA//GLUCOSAMINA;;Directa;
F-19718/17;ARTRIDOL DUO 750/600 COMPRIMIDOS;2012-12-11 00:00:00;LABORATORIO CHILE S.A.;CONDROITINA//GLUCOSAMINA;;Directa;
F-20935/19;ARTRISIMI COMPRIMIDOS;2014-02-17 00:00:00;LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.;CONDROITINA//GLUCOSAMINA;;Directa;
F-21349/19;ARTRISIMI POLVO PARA SOLUCIÓN ORAL;2014-08-25 00:00:00;LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.;CONDROITINA//GLUCOSAMINA;;Directa;
H-863/20;ARTROPLEX COMPRIMIDOS;1989-03-22 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-24183/18;ARTROSOL 500/400 COMPRIMIDOS RECUBIERTOS;2018-10-16 00:00:00;DROGUERÍA ARAMA NATURAL PRODUCTS DISTRIBUIDORA LTDA.;CONDROITINA//GLUCOSAMINA;;Directa;
F-1480/18;ASPIRINA 100 COMPRIMIDOS 100 mg;1956-09-13 00:00:00;BAYER S.A.;ACIDO ACETILSALICILICO;;Directa;
F-1481/18;ASPIRINA COMPRIMIDOS 500 mg;1954-03-04 00:00:00;BAYER S.A.;ACIDO ACETILSALICILICO;;Directa;
F-13533/19;ASPIRINA FORTE COMPRIMIDOS 650 mg;2004-03-09 00:00:00;BAYER S.A.;ACIDO ACETILSALICILICO;;Directa;
F-16703/18;ATAC POLVO PARA SUSPENSIÓN ORAL 125 mg/5 mL, CON SOLVENTE;2008-03-04 00:00:00;LABORATORIOS RECALCINE S.A.;NAPROXENO;;Directa;
H-606/20;AURUM COMPUESTO SOLUCIÓN ORAL PARA GOTAS;1989-03-22 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-1235/17;AVENA SATIVA COMPUESTA II SOLUCIÓN PARA GOTAS ORALES;2017-10-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-584/20;AVENA SATIVA COMPUESTO SOLUCIÓN ORAL PARA GOTAS;1988-10-07 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-1161/19;AVENA SATIVA D6 GLÓBULOS;2009-09-21 00:00:00;LABORATORIOS BIOSPHARE S.A.;;;Directa;
N-173/16;AVENA SATIVA EXTRACTO FLUIDO, SOLUCIÓN PARA GOTAS ORALES;1990-11-23 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-574/20;AVENA SATIVA TINTURA MADRE SOLUCIÓN ORAL PARA GOTAS;1988-07-19 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-806/20;AVENA SATIVA TM COMPRIMIDOS;1989-03-27 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-10228/16;AYR CON UREA EMULSIÓN TÓPICA 10%;1991-12-20 00:00:00;LABORATORIOS SMB FARMA S.A.;UREA;;Directa;
F-10229/21;AYREMENTOL LOCIÓN TÓPICA;1993-03-05 00:00:00;LABORATORIOS SMB FARMA S.A.;ALCANFOR//MENTOL;;Directa;
F-2643/19;AZUL DE METILENO AL 2%;1978-02-01 00:00:00;LABORATORIO VALMA SPA;AZUL DE METILENO;;Directa;
N-408/20;BAILAHUEN EXTRACTO FLUIDO SOLUCIÓN PARA GOTAS ORALES;1988-07-12 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-1196/18;BÁLSAMO ANALGÉSICO PASTEUR UNGÜENTO TÓPICO;1966-04-16 00:00:00;LABORATORIO PASTEUR S.A.;MENTOL//SALICILATO DE METILO;;Directa;
F-6436/20;BEDIATIL COMPRIMIDOS 200 mg (IBUPROFENO);1989-03-29 00:00:00;LABORATORIO PASTEUR S.A.;IBUPROFENO;;Directa;TRUE
F-1804/19;BEDIATIL FORTE SUSPENSIÓN ORAL 200 mg/5 mL;1999-05-07 00:00:00;LABORATORIO PASTEUR S.A.;IBUPROFENO;;Directa;
F-11624/21;BEDIATIL SUSPENSIÓN ORAL 100 mg/5 mL;1994-10-01 00:00:00;LABORATORIO PASTEUR S.A.;IBUPROFENO;;Directa;
K-63/19;BEKUNIS GRAGEAS;1980-01-28 00:00:00;PHARMASAN LTDA.;;;Directa;
N-345/18;BEKUNIS TE LAXANTE BOLSITA FILTRO PARA INFUSIÓN ORAL 1,5 g;1998-11-06 00:00:00;PHARMASAN LTDA.;;;Directa;
F-9859/16;BELDENT GEL BUCAL 7,5%;2001-12-05 00:00:00;LABORATORIO CHILE S.A.;BENZOCAINA;;Directa;
H-603/20;BELLADONA COMPUESTA SOLUCIÓN ORAL PARA GOTAS;1989-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-796/20;BELLADONA D6 COMPRIMIDOS;1986-11-12 00:00:00;KNOP LABORATORIOS S.A.;Belladona D6;;Directa;
H-1162/19;BELLADONA D6 GLÓBULOS;2009-09-21 00:00:00;LABORATORIOS BIOSPHARE S.A.;;;Directa;
F-8536/21;BENZAC AC GEL DE BASE ACUOSA 2,5 % (PERÓXIDO DE BENZOÍLO);1993-04-01 00:00:00;GALDERMA CHILE LABORATORIOS LTDA.;PEROXIDO DE BENZOILO;;Directa;
F-8537/21;BENZAC AC GEL DE BASE ACUOSA 5% (PERÓXIDO DE BENZOÍLO);1990-05-15 00:00:00;GALDERMA CHILE LABORATORIOS LTDA.;PEROXIDO DE BENZOILO;;Directa;
F-8539/16;BENZAC AC WASH GEL DÉRMICO 5% (PERÓXIDO DE BENZOÍLO);1992-11-18 00:00:00;GALDERMA CHILE LABORATORIOS LTDA.;PEROXIDO DE BENZOILO;;Directa;
F-8211/16;BENZOCAÍNA CON ALCOHOL BENCÍLICO UNGÜENTO;1993-11-26 00:00:00;SYNTHON CHILE LTDA.;ALCOHOL BENCILICO//BENZOCAINA;;Directa;
F-9858/16;BENZOCAÍNA GEL BUCAL 7,5%;2001-12-05 00:00:00;LABORATORIOS MDK S.A.;BENZOCAINA;;Directa;
